blocksector,read/write,boot/exec
0,0,0
0,0,0
2,0,0
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
117,0,1
117,0,1
118,0,1
117,0,1
117,0,1
117,0,1
118,0,1
117,0,1
117,0,1
117,0,1
117,0,1
118,0,1
117,0,1
117,0,1
117,0,1
117,0,1
118,0,1
117,0,1
117,0,1
118,0,1
117,0,1
117,0,1
119,0,1
117,0,1
117,0,1
120,0,1
117,0,1
117,0,1
121,0,1
117,0,1
117,0,1
122,0,1
117,0,1
117,0,1
123,0,1
117,0,1
117,0,1
124,0,1
117,0,1
117,0,1
125,0,1
117,0,1
117,0,1
134,0,1
117,0,1
117,0,1
135,0,1
117,0,1
117,0,1
136,0,1
117,0,1
117,0,1
137,0,1
117,0,1
117,0,1
138,0,1
117,0,1
117,0,1
139,0,1
117,0,1
117,0,1
140,0,1
117,0,1
117,0,1
141,0,1
0,0,1
0,0,1
0,0,1
2,1,1
1915,1,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
1,0,1
3,0,1
3,1,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
1,0,1
1,0,1
3,0,1
117,0,1
117,0,1
126,0,1
117,0,1
117,0,1
127,0,1
117,0,1
117,0,1
128,0,1
117,0,1
117,0,1
129,0,1
117,0,1
117,0,1
130,0,1
117,0,1
117,0,1
131,0,1
117,0,1
117,0,1
132,0,1
117,0,1
117,0,1
133,0,1
